,Card Name,Card Set,Card Purchase Price,Card Current Price
0,Flooded Grove,Zendikar Expeditions,$33.24,2.60
1,Anchor to Reality,Kamigawa: Neon Dynasty,$0.09,0.07
2,Archivist of Oghma,Commander Legends: Battle for Baldur's Gate,$10.24,6.97
3,Bolas's Citadel ,WPN & Gateway Promos,$4.66,5.95
4,Deep Forest Hermit ,Modern Horizons,$0.60,2.15
5,Impulse,Dominaria United,$0.35,0.17
6,Jeska's Will,Commander Legends,$14.78,17.17
7,"Otawara, Soaring City",Kamigawa: Neon Dynasty,$12.49,14.03
8,Tooth and Nail,Mirrodin,$18.75,17.97
9,Toxic Deluge,Commander Collection: Black,$16.73,18.04
10,Battle Bus - Smuggler's Copter,Secret Lair Drop Series,$4.99,4.14
11,Battle Royale - Triumph of the Hordes,Secret Lair Drop Series,$10.50,26.98
12,Supply Llama - Etherium Sculptor,Secret Lair Drop Series,$5.94,4.41
13,Academy Manufactor,Modern Horizons 2,$5.01,2.62
14,An Offer You Can't Refuse,Streets of New Capenna,$1.89,2.57
15,Bootleggers' Stash ,Streets of New Capenna,$13.17,5.15
16,Eternal Witness ,Double Masters 2022,$2.50,2.19
17,Void Rend ,Streets of New Capenna,$1.52,2.23
18,"Ziatora, the Incinerator ",Streets of New Capenna,$4.01,2.39
19,"Chun-Li, Countless Kicks",Secret Lair Drop Series,$13.76,12.49
20,Ash Barrens,Commander 2016,$0.49,0.06
21,Beast Within,Commander 2020,$0.86,0.84
22,Bower Passage,Avacyn Restored,$0.26,0.29
23,Cinder Glade,Commander: Kamigawa: Neon Dynasty,$0.65,0.20
24,Command Tower,Commander 2021,$0.29,0.73
25,Crucible of Fire,Shards of Alara,$2.00,1.34
26,Crucible of the Spirit Dragon,Fate Reforged,$0.25,0.33
27,Displace,Eldritch Moon,$0.30,0.23
28,Dragon Tempest,Iconic Masters,$8.25,4.26
29,Essence Flux,Shadows over Innistrad,$1.27,1.67
30,Exotic Orchard,Commander 2016,$0.63,0.76
31,Farseek,Magic 2013 (M13),$1.73,0.98
32,Frontier Bivouac,Khans of Tarkir,$0.39,0.37
33,Glasspool Mimic,Zendikar Rising,$3.84,2.85
34,Hellkite Charger,Modern Masters 2015,$3.71,3.75
35,Kindred Discovery,Commander Legends: Battle for Baldur's Gate,$4.34,9.01
36,Mosswort Bridge,Commander: Streets of New Capenna,$0.39,0.20
37,Path of Ancestry,Commander: Streets of New Capenna,$0.26,0.42
38,Rishkar's Expertise,Commander: Kamigawa: Neon Dynasty,$1.22,4.82
39,Rockfall Vale,Innistrad: Midnight Hunt,$1.65,0.89
40,Savage Ventmaw,Dragons of Tarkir,$0.45,0.55
41,Sneak Attack,Double Masters,$17.62,8.96
42,Spinerock Knoll,Commander: Adventures in the Forgotten Realms,$0.18,0.26
43,Stubborn Denial,Khans of Tarkir,$1.01,2.69
44,Teferi's Time Twist,War of the Spark,$0.20,0.18
45,Thundermaw Hellkite,Magic 2013 (M13),$4.03,4.06
46,Unclaimed Territory,Ixalan,$2.00,0.61
47,Warstorm Surge,Magic 2012 (M12),$0.42,0.28
48,Arid Mesa,Modern Horizons 2,$13.48,14.52
49,Counterspell,Modern Horizons 2,$1.55,1.33
50,Crucible of Worlds ,Double Masters 2022,$41.05,19.51
51,Garth One-Eye ,Modern Horizons 2,$1.04,0.36
52,Ignoble Hierarch ,Modern Horizons 2,$3.56,2.44
53,Liquimetal Torque,Modern Horizons 2,$1.09,0.83
54,Marsh Flats,Modern Horizons 2,$12.74,12.18
55,Mirari's Wake ,Modern Horizons 2,$7.00,5.42
56,Misty Rainforest,Modern Horizons 2,$21.82,18.15
57,Scalding Tarn,Modern Horizons 2,$23.93,19.98
58,Sword of Hearth and Home ,Modern Horizons 2,$12.43,11.45
59,"Sythis, Harvest's Hand ",Modern Horizons 2,$1.78,1.04
60,Thought Monitor ,Modern Horizons 2,$1.96,1.13
61,Urza's Saga ,Modern Horizons 2,$28.05,28.05
62,Verdant Catacombs,Modern Horizons 2,$16.85,14.81
63,Monster Manual ,Commander Legends: Battle for Baldur's Gate,$3.45,2.53
64,Scute Swarm ,Zendikar Rising,$2.96,4.31
65,"Aminatou, the Fateshifter",Double Masters 2022,$2.12,3.17
66,Flickerwisp ,Double Masters 2022,$1.03,0.17
67,Rampant Growth ,Double Masters 2022,$0.94,0.30
68,Rampant Growth ,Double Masters 2022,$0.89,0.30
69,Elvish Mystic,Magic 2015 (M15),$0.48,1.62
70,Intruder Alarm,8th Edition,$10.25,11.11
71,Austere Command,Commander Legends,$1.51,0.68
72,Mobile Garrison,Aether Revolt,$0.21,0.17
73,Hidden Strings,Dragon's Maze,$0.20,0.21
74,"Teferi, Who Slows the Sunset",Innistrad: Midnight Hunt,$4.20,3.48
75,Deadeye Quartermaster,Ixalan,$0.29,0.28
76,"Cosima, God of the Voyage",Kaldheim,$0.71,0.26
77,Farseek,Commander 2019,$2.06,0.98
78,Rampant Growth,8th Edition,$0.58,0.30
79,Rampant Growth,Commander 2021,$0.56,0.30
80,Rude Awakening,Modern Masters,$0.77,1.04
81,Sylvan Awakening,Dominaria,$1.09,1.11
82,Terra Eternal,Worldwake,$1.37,1.06
83,"Tomik, Distinguished Advokist",War of the Spark,$0.20,0.21
84,Tragic Arrogance,Commander 2021,$0.59,0.95
85,Unbreakable Formation,Secret Lair Drop Series,$1.94,0.20
86,Old Cemetery,SWSH06: Chilling Reign,$0.19,14.98
87,Intruder Alarm,8th Edition,$10.25,11.11
88,Austere Command,Commander Legends,$1.51,0.68
89,Mobile Garrison,Aether Revolt,$0.21,0.17
90,Hidden Strings,Dragon's Maze,$0.20,0.21
91,"Teferi, Who Slows the Sunset",Innistrad: Midnight Hunt,$4.20,3.48
92,Deadeye Quartermaster,Ixalan,$0.29,0.28
93,"Cosima, God of the Voyage",Kaldheim,$0.71,0.26
94,Farseek,Commander 2019,$2.06,0.98
95,Rampant Growth,8th Edition,$0.58,0.30
96,Rampant Growth,Commander 2021,$0.56,0.30
97,Rude Awakening,Modern Masters,$0.77,1.04
98,Sylvan Awakening,Dominaria,$1.09,1.11
99,Terra Eternal,Worldwake,$1.37,1.06
100,"Tomik, Distinguished Advokist",War of the Spark,$0.20,0.21
101,Tragic Arrogance,Commander 2021,$0.59,0.95
102,Unbreakable Formation,Secret Lair Drop Series,$1.94,0.20
103,Old Cemetery,SWSH06: Chilling Reign,$0.19,14.98
104,Improvised Weaponry,Adventures in the Forgotten Realms,$0.04,0.03
105,Destructive Tampering,Aether Revolt,$0.01,0.02
106,Outpost Siege,Commander 2017,$0.22,0.24
107,"Alena, Kessig Trapper",Commander Legends,$0.12,0.11
108,Brazen Freebooter,Commander Legends,$0.01,0.01
109,Sisay's Ring,Commander Legends,$0.06,0.07
110,Spectral Searchlight,Commander Legends,$0.04,0.03
111,Meteor Golem,Commander Legends: Battle for Baldur's Gate,$0.04,0.16
112,Catalyst Elemental,Core Set 2019,$0.02,0.03
113,Meteorite,Core Set 2021,$0.03,0.02
114,Warden of the Wall,Dark Ascension,$0.07,0.10
115,Sandstone Oracle,Double Masters,$0.09,0.17
116,Abrade,Innistrad: Crimson Vow,$0.12,0.15
117,Foreboding Statue,Innistrad: Crimson Vow,$0.08,0.09
118,Into the Night,Innistrad: Crimson Vow,$0.08,0.10
119,Network Terminal,Kamigawa: Neon Dynasty,$0.05,0.06
120,Ring of Valkas,Magic 2013 (M13),$0.12,0.11
121,Soulbright Flamekin,Masters 25,$0.08,0.11
122,Faithless Salvaging,Modern Horizons 2,$0.06,0.04
123,Fast // Furious,Modern Horizons 2,$0.03,0.02
124,Mogg Salvage,Modern Horizons 2,$0.06,0.08
125,Racecourse Fury,Return to Ravnica,$0.04,0.07
126,Strider Harness,Scars of Mirrodin,$0.01,0.05
127,Tormenting Voice,Shadows over Innistrad,$0.05,0.05
128,Exuberant Firestoker,Shards of Alara,$0.10,0.13
129,Introduction to Annihilation,Strixhaven: School of Mages,$0.05,0.10
130,Letter of Acceptance,Strixhaven: School of Mages,$0.06,0.07
131,Altar of the Pantheon,Theros Beyond Death,$0.07,0.16
132,Furious Rise,Theros Beyond Death,$0.04,0.04
133,Cliffhaven Kitesail,Zendikar Rising,$0.05,0.04
134,Baldur's Gate,Commander Legends: Battle for Baldur's Gate,$0.79,0.78
135,Basilisk Gate,Commander Legends: Battle for Baldur's Gate,$0.10,0.53
136,Black Dragon Gate,Commander Legends: Battle for Baldur's Gate,$0.17,0.18
137,Citadel Gate,Commander Legends: Battle for Baldur's Gate,$0.16,0.44
138,Cliffgate,Commander Legends: Battle for Baldur's Gate,$0.15,0.11
